2,5
2,5
3,6
4,7
2,8
3,6
4,7
4,7
5,8
2,5
3,6
4,7
4,7
2,8
4,7
2,5
3,6
4,7
4,7
3,6
5,8
3,6
2,5
3,6
4,7
2,8
3,6
4,7
5,8
2,5
3,6
3,6
4,7
2,8
2,8
2,8
3,6
3,6
3,6
4,7
2,8
5,8
3,6
3,6
2,5
3,6
4,7
4,7
3,6
2,5
5,8
2,8
5,8
3,6
4,7
3,6
4,7
5,8
2,5
3,6
4,7
2,8
3,6
4,7
5,8
2,5
3,6
4,7
2,8
3,6
2,8
5,8
4,7
5,8
4,7
2,8
2,5
3,6
4,7
2,8
3,6
2,8
5,8
4,7
5,8
2,5
3,6
3,6
2,8
4,7
2,5
2,8
3,6
4,7
5,8
5,8
2,5
3,6
4,8
5,8
2,7
3,6
4,7
4,7
4,7
5,8
2,5
3,6
4,7
2,8
2,8
3,6
3,6
4,7
2,8
2,5
2,7
3,6
3,6
3,8
2,7
4,7
5,8
2,6
3,6
4,7
5,8
2,5
